description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Iowa : other gases,thousand megawatthours,ELEC.GEN.OOG-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa : nuclear,thousand megawatthours,ELEC.GEN.NUC-IA-99.A,3853,4574,3988,4929,4538,5095,4519,5282,4679,4451,5215,4347,5321,4152,5243,4703,5214,4895,5236,2905,--,--,--,--,--
Iowa : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-IA-99.A,845,946,789,946,960,909,962,819,971,948,925,766,749,879,960,917,1034,925,796,1025,980,1010,948,1030,1135
Iowa : other renewables,thousand megawatthours,ELEC.GEN.AOR-IA-99.A,592,1017,1096,1156,1764,2455,2908,4251,7589,9360,10870,14183,15727,16573,18131,20324,21587,21557,26536,34412,37525,46367,42170,45158,45233
Iowa : wind,thousand megawatthours,ELEC.GEN.WND-IA-99.A,488,919,982,1050,1647,2318,2757,4084,7421,9170,10709,14032,15568,16307,17873,20072,21373,21334,26305,34182,37098,45761,41439,44277,43738
Iowa : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,5,11,15,22,225,386,521,663,1299
Iowa : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,5,11,15,22,225,386,521,663,1299
Iowa : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa : geothermal,thousand megawatthours,ELEC.GEN.GEO-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa : biomass,thousand megawatthours,ELEC.GEN.BIO-IA-99.A,104,98,114,106,117,137,151,167,168,190,161,151,159,266,258,252,210,211,216,208,201,220,209,217,196
Iowa : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-IA-99.A,--,0,--,--,--,--,0,0,0,--,--,--,0,2,2,1,2,2,12,8,0,7,1,1,0
Iowa : other biomass,thousand megawatthours,ELEC.GEN.WAS-IA-99.A,104,98,114,106,117,137,151,167,168,190,161,151,159,264,256,251,208,209,203,199,201,214,208,217,196
Iowa : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa : other,thousand megawatthours,ELEC.GEN.OTH-IA-99.A,8,0,10,12,12,10,12,0,0,--,--,--,0,0,5,12,2,0,0,0,0,0,0,-1,0
Iowa : all solar,thousand megawatthours,ELEC.GEN.TSN-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,24,41,60,94,138,176,232,472,693,911,1142,1851
Iowa : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,24,41,59,89,126,160,210,247,308,390,478,552
Iowa : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,5,11,15,22,225,386,521,663,1299
Iowa : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,5,11,15,22,225,386,521,663,1299
Iowa : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-KS-99.A,44749,47188,46568,46783,45863,45524,50122,46630,46677,47924,45360,44425,48473,49728,45527,47600,50933,51710,50888,54542,56631,62198,58457,57696,63010
Kansas : coal,thousand megawatthours,ELEC.GEN.COW-KS-99.A,31768,35369,35110,34593,34481,33281,36250,34003,32243,32505,31656,27983,29767,28752,24593,23096,19390,20474,17315,16960,19396,20229,16291,13079,19342
Kansas : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-KS-99.A,617,509,964,854,986,51,43,43,39,45,38,35,51,45,49,28,55,52,78,75,149,-224,59,97,103
Kansas : petroleum coke,thousand megawatthours,ELEC.GEN.PC-KS-99.A,--,--,--,--,--,--,164,87,81,58,19,0,0,0,0,--,--,--,--,--,--,--,--,--,--
Kansas : natural gas,thousand megawatthours,ELEC.GEN.NG-KS-99.A,1951,1789,1226,832,1137,1839,2133,2230,2669,2287,2535,2860,1980,1453,1174,2027,2147,3006,3024,2802,2662,3363,4369,5318,4099
Kansas : other gases,thousand megawatthours,ELEC.GEN.OOG-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas : nuclear,thousand megawatthours,ELEC.GEN.NUC-KS-99.A,10347,9042,8890,10133,8821,9350,10369,8497,8769,9556,7319,8285,7168,8558,8630,8246,10648,9168,9248,10582,8575,8982,10302,9204,9269
Kansas : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-KS-99.A,26,13,12,13,11,10,11,11,13,13,15,10,15,16,19,31,29,26,20,32,30,24,13,20,23
Kansas : other renewables,thousand megawatthours,ELEC.GEN.AOR-KS-99.A,40,467,366,359,426,992,1153,1759,2863,3459,3779,5253,9491,10904,11062,14172,18661,18979,21198,24085,25813,29823,27420,29972,30169
Kansas : wind,thousand megawatthours,ELEC.GEN.WND-KS-99.A,40,467,366,359,426,992,1153,1759,2863,3405,3720,5195,9433,10845,10999,14111,18598,18908,21124,23964,25694,29687,27273,29795,29634
Kansas : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,5,8,11,58,61,74,81,122,481
Kansas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,5,8,11,58,61,74,81,122,481
Kansas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas : geothermal,thousand megawatthours,ELEC.GEN.GEO-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas : biomass,thousand megawatthours,ELEC.GEN.BIO-KS-99.A,--,--,--,--,--,--,--,--,0,54,59,57,58,59,62,59,57,64,63,64,59,61,66,56,55
Kansas : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas : other biomass,thousand megawatthours,ELEC.GEN.WAS-KS-99.A,--,--,--,--,--,--,--,--,0,54,59,57,58,59,62,59,57,64,63,64,59,61,66,56,55
Kansas : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas : other,thousand megawatthours,ELEC.GEN.OTH-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,5,5,5,5,5,1,3,5,5
Kansas : all solar,thousand megawatthours,ELEC.GEN.TSN-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,3,6,11,22,35,50,106,122,161,210,288,682
Kansas : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,3,5,8,17,27,38,48,61,87,129,166,201
Kansas : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,5,8,11,58,61,74,81,122,481
Kansas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,5,8,11,58,61,74,81,122,481
Kansas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MN-99.A,48523,52778,55051,52364,53019,53238,54478,54763,52492,53670,53120,52754,51297,56998,56980,59479,58749,61517,59379,56510,59196,58967,57277,58595,61007
Minnesota : coal,thousand megawatthours,ELEC.GEN.COW-MN-99.A,31819,33920,35656,34000,32950,33070,32190,31755,29327,28083,28259,22723,23518,27957,24697,23206,22782,23455,17805,14038,15764,16159,12794,11430,14139
Minnesota : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MN-99.A,121,51,135,114,164,86,244,92,66,31,38,30,27,63,28,32,35,47,51,30,105,-61,54,21,10
Minnesota : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MN-99.A,504,602,738,669,612,408,161,140,-1,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--
Minnesota : natural gas,thousand megawatthours,ELEC.GEN.NG-MN-99.A,1200,1592,1844,1458,2707,2561,3842,2866,2846,4341,3351,7088,6301,3870,7389,8928,6708,8555,12607,11815,12791,8736,13824,15889,12699
Minnesota : other gases,thousand megawatthours,ELEC.GEN.OOG-MN-99.A,--,--,--,--,--,--,26,27,24,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota : nuclear,thousand megawatthours,ELEC.GEN.NUC-MN-99.A,11789,13685,13414,13296,12835,13183,13103,12997,12393,13478,11959,11944,10708,12707,12039,13861,13904,14601,14105,14677,14123,14696,11924,11845,13213
Minnesota : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MN-99.A,832,809,815,738,775,572,654,727,809,840,746,561,511,548,849,1209,1258,1054,1056,1002,679,950,750,868,921
Minnesota : other renewables,thousand megawatthours,ELEC.GEN.AOR-MN-99.A,1977,1787,2121,1797,2652,3059,3933,5851,6737,6640,8406,10015,9871,11457,11588,11836,13666,13400,13402,14621,15421,18179,17628,18232,19736
Minnesota : wind,thousand megawatthours,ELEC.GEN.WND-MN-99.A,897,906,978,812,1582,2055,2639,4355,5053,4792,6726,8176,8259,9691,9779,9933,11137,10714,10965,11831,12271,15091,14398,14781,15399
Minnesota : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,3,3,10,596,1042,1249,1634,1893,1901,2094,2285,3165
Minnesota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,3,3,10,596,1042,1249,1634,1893,1901,2094,2285,3165
Minnesota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota : geothermal,thousand megawatthours,ELEC.GEN.GEO-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota : biomass,thousand megawatthours,ELEC.GEN.BIO-MN-99.A,1080,881,1143,985,1070,1004,1294,1496,1684,1848,1680,1838,1610,1763,1806,1892,1933,1645,1188,1156,1256,1187,1135,1165,1172
Minnesota : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MN-99.A,575,377,657,652,656,590,727,725,796,933,748,839,1036,1149,1177,1218,1296,1113,837,812,942,888,847,880,896
Minnesota : other biomass,thousand megawatthours,ELEC.GEN.WAS-MN-99.A,505,503,486,332,413,414,566,771,887,915,932,999,574,614,629,674,637,531,351,344,314,299,288,285,276
Minnesota : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota : other,thousand megawatthours,ELEC.GEN.OTH-MN-99.A,282,332,329,292,324,298,325,309,290,258,362,394,361,397,390,407,396,405,355,328,313,308,303,311,288
Minnesota : all solar,thousand megawatthours,ELEC.GEN.TSN-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,21,28,47,655,1123,1353,1773,2077,2144,2417,2689,3649
Minnesota : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,19,26,37,59,81,104,140,183,243,323,403,484
Minnesota : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,3,3,10,596,1042,1249,1634,1893,1901,2094,2285,3165
Minnesota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,3,3,10,596,1042,1249,1634,1893,1901,2094,2285,3165
Minnesota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MO-99.A,79545,81162,87225,87633,90828,91686,91153,91029,88354,92313,94876,91804,91627,87834,83640,78612,84607,85095,78279,72568,76941,79361,66703,66876,72093
Missouri : coal,thousand megawatthours,ELEC.GEN.COW-MO-99.A,65749,67435,74212,75024,77437,77450,75084,73532,71611,75047,78316,72775,76105,72409,65326,60322,67519,63355,55686,51756,57858,52832,40347,38832,45941
Missouri : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-MO-99.A,126,97,107,66,103,61,61,56,57,118,80,78,65,107,99,78,61,100,97,81,259,163,132,148,255
Missouri : petroleum coke,thousand megawatthours,ELEC.GEN.PC-MO-99.A,512,433,50,130,66,0,0,1,30,8,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--
Missouri : natural gas,thousand megawatthours,ELEC.GEN.NG-MO-99.A,3874,3544,2624,2865,3866,3729,4979,5196,3416,4690,4548,6167,4400,4044,4596,6032,5205,7050,7675,7561,6059,8152,9260,9100,9458
Missouri : other gases,thousand megawatthours,ELEC.GEN.OOG-MO-99.A,--,--,2,2,2,5,3,3,7,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri : nuclear,thousand megawatthours,ELEC.GEN.NUC-MO-99.A,8384,8390,9700,7831,8031,10117,9372,9379,10247,8996,9371,10718,8367,9276,10440,9430,8304,10655,9190,7742,4292,8875,9180,10526,7116
Missouri : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-MO-99.A,1104,1357,652,1480,1159,199,1204,2047,1817,1539,1185,714,1136,697,1595,1268,1182,828,2216,1879,1697,1384,785,1020,1023
Missouri : other renewables,thousand megawatthours,ELEC.GEN.AOR-MO-99.A,9,9,8,10,9,24,29,246,575,988,1240,1299,1241,1255,1179,1293,2233,3059,3078,3571,6774,7790,7049,7103,8181
Missouri : wind,thousand megawatthours,ELEC.GEN.WND-MO-99.A,--,--,--,--,--,--,--,203,499,925,1178,1245,1167,1131,1033,1122,2032,2835,2858,3345,6534,7525,6775,6790,6500
Missouri : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,17,33,56,91,100,101,116,152,174,208,1589
Missouri : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,17,33,56,91,100,101,116,152,174,208,1589
Missouri : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri : geothermal,thousand megawatthours,ELEC.GEN.GEO-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri : biomass,thousand megawatthours,ELEC.GEN.BIO-MO-99.A,9,9,8,10,9,24,29,43,75,62,62,54,74,116,129,139,144,133,120,125,124,113,99,106,92
Missouri : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-MO-99.A,--,0,0,0,0,0,0,2,2,0,0,0,8,32,29,47,56,51,44,42,41,43,40,48,43
Missouri : other biomass,thousand megawatthours,ELEC.GEN.WAS-MO-99.A,9,9,8,9,9,24,29,41,73,62,62,54,66,83,100,91,88,82,76,83,83,71,59,58,49
Missouri : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-MO-99.A,-266,-159,-254,115,86,48,383,545,567,888,114,33,296,19,348,179,100,47,337,-22,1,165,-49,147,119
Missouri : other,thousand megawatthours,ELEC.GEN.OTH-MO-99.A,54,58,124,110,70,54,37,24,27,32,21,20,16,26,58,9,4,1,0,0,0,0,0,0,0
Missouri : all solar,thousand megawatthours,ELEC.GEN.TSN-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,122,162,200,261,324,393,461,549,681,867,950,2388
Missouri : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,113,145,167,204,232,293,360,433,528,692,742,800
Missouri : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,17,33,56,91,100,101,116,152,174,208,1589
Missouri : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,17,33,56,91,100,101,116,152,174,208,1589
Missouri : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NE-99.A,30485,31618,30456,32009,31465,31670,32443,32374,34002,36630,36095,34217,37105,39431,39883,36525,35407,36966,37298,36849,37911,40693,39446,37229,40207
Nebraska : coal,thousand megawatthours,ELEC.GEN.COW-NE-99.A,20239,19944,20954,20457,20818,20683,19630,21480,23350,23363,25965,25019,26767,24922,24185,21898,21174,23305,20385,18789,18934,19945,17916,16352,18332
Nebraska : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NE-99.A,28,21,49,22,31,19,36,35,23,31,37,23,43,43,6,-18,6,12,16,14,55,35,35,48,70
Nebraska : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska : natural gas,thousand megawatthours,ELEC.GEN.NG-NE-99.A,349,413,381,297,803,759,1110,758,312,375,426,770,437,406,431,538,629,965,1277,1209,1173,1260,1411,1381,1585
Nebraska : other gases,thousand megawatthours,ELEC.GEN.OOG-NE-99.A,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska : nuclear,thousand megawatthours,ELEC.GEN.NUC-NE-99.A,8726,10122,7997,10241,8802,9003,11042,9479,9435,11054,6933,5802,6865,10102,10325,9351,6913,5632,6952,6189,6881,5619,6926,6096,6922
Nebraska : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-NE-99.A,1124,1097,980,913,871,893,347,346,434,1314,1617,1257,1124,1158,1685,856,1489,1382,1340,1390,1123,1057,1143,1183,1265
Nebraska : other renewables,thousand megawatthours,ELEC.GEN.AOR-NE-99.A,19,21,95,78,139,313,278,275,449,493,1116,1347,1869,2801,3251,3900,5197,5670,7327,9259,9745,12776,12015,12169,12033
Nebraska : wind,thousand megawatthours,ELEC.GEN.WND-NE-99.A,3,8,38,38,97,261,217,214,383,422,1051,1284,1802,2737,3180,3798,5084,5549,7211,9115,9592,12614,11845,11891,11706
Nebraska : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,15,27,32,54,61,74,79,196,255
Nebraska : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,15,27,31,54,61,74,79,196,255
Nebraska : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--
Nebraska : geothermal,thousand megawatthours,ELEC.GEN.GEO-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska : biomass,thousand megawatthours,ELEC.GEN.BIO-NE-99.A,17,13,56,40,43,52,61,61,66,72,65,63,67,64,71,98,97,93,85,90,92,89,90,82,73
Nebraska : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska : other biomass,thousand megawatthours,ELEC.GEN.WAS-NE-99.A,17,13,56,40,43,52,61,61,66,72,65,63,67,64,71,98,97,93,85,90,92,89,90,82,73
Nebraska : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska : other,thousand megawatthours,ELEC.GEN.OTH-NE-99.A,0,0,0,0,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska : all solar,thousand megawatthours,ELEC.GEN.TSN-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,7,21,38,47,74,86,110,129,254,318
Nebraska : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,5,11,15,20,25,36,49,57,63
Nebraska : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,15,27,32,54,61,74,79,196,255
Nebraska : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,15,27,31,54,61,74,79,196,255
Nebraska : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NE-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--
North Dakota,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-ND-99.A,30332,31306,31322,29936,31933,30881,31224,32735,34196,34740,35080,36125,35022,36463,37157,37856,41505,42615,41147,42176,43032,44401,42069,42557,42519
North Dakota : coal,thousand megawatthours,ELEC.GEN.COW-ND-99.A,28877,29612,29427,28064,30259,28879,29164,29672,29607,28462,27109,28214,27478,27394,27734,26580,26756,27541,25151,24497,24403,24831,22525,23183,22578
North Dakota : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-ND-99.A,48,39,52,38,34,42,51,49,45,38,42,33,33,26,26,30,36,38,34,31,33,29,53,44,31
North Dakota : petroleum coke,thousand megawatthours,ELEC.GEN.PC-ND-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0
North Dakota : natural gas,thousand megawatthours,ELEC.GEN.NG-ND-99.A,3,8,9,9,8,7,17,0,17,16,20,22,54,234,711,1071,676,1019,1471,1488,1578,1453,2833,2442,2268
North Dakota : other gases,thousand megawatthours,ELEC.GEN.OOG-ND-99.A,65,55,50,58,59,59,53,0,44,36,39,35,42,40,39,40,42,51,50,38,38,31,23,28,35
North Dakota : nuclear,thousand megawatthours,ELEC.GEN.NUC-ND-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-ND-99.A,1332,1593,1724,1546,1342,1521,1305,1253,1475,2042,2580,2477,1852,2531,2094,1912,2582,3180,3179,2450,1989,1791,2119,2061,2194
North Dakota : other renewables,thousand megawatthours,ELEC.GEN.AOR-ND-99.A,8,0,59,220,230,373,634,1706,3009,4108,5245,5280,5524,6205,6509,8178,11361,10734,11213,13634,14937,16250,14477,14763,15378
North Dakota : wind,thousand megawatthours,ELEC.GEN.WND-ND-99.A,--,--,59,215,220,369,621,1693,2998,4096,5236,5275,5519,6202,6506,8172,11359,10733,11213,13634,14935,16250,14477,14763,15378
