description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Massachusetts : all solar,thousand megawatthours,ELEC.GEN.TSN-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,931,1314,1863,2304,3062,3280,3726,4120,5353,5724,6185,6702
Massachusetts : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,625,862,1254,1516,2083,2116,2322,2533,3419,3709,4058,4173
Massachusetts : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-MA-99.A,--,--,--,--,--,--,--,0,0,1,5,30,106,306,451,609,788,978,1164,1404,1587,1934,2015,2127,2529
Massachusetts : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MA-99.A,--,--,--,--,--,--,--,0,0,1,5,30,105,305,451,609,788,978,1164,1404,1587,1934,2015,2127,2529
Massachusetts : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,2,--,--,--,--,--,--,--,--,--,--,--
New Hampshire,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-NH-99.A,15075,15953,21597,23876,24470,22064,23277,22877,20164,22196,20066,19222,19779,19538,20016,19282,17447,17087,18027,16351,17193,18764,16825,16942,19335
New Hampshire : coal,thousand megawatthours,ELEC.GEN.COW-NH-99.A,3706,3722,3923,4076,4073,3885,3927,3451,2886,3083,2208,1268,1464,1311,937,422,287,660,343,128,284,305,160,224,239
New Hampshire : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-NH-99.A,482,650,2045,1960,1357,439,385,136,183,72,78,22,105,287,176,39,105,178,30,42,70,445,68,47,182
New Hampshire : petroleum coke,thousand megawatthours,ELEC.GEN.PC-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : natural gas,thousand megawatthours,ELEC.GEN.NG-NH-99.A,119,220,4165,5400,6785,6007,5754,7073,5342,5365,6658,7050,4100,4388,6052,4744,3580,2992,3583,3638,4466,4502,4226,4421,5319
New Hampshire : other gases,thousand megawatthours,ELEC.GEN.OOG-NH-99.A,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
